data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
minor,Station to centre,Vingis park concert congestions + road closure,True,1.69,7.31,453,424,424,421,0.025,0.085,0.502,0.084,TIE,80062234
minor,Uzupis internal,Vingis park concert congestions + road closure,True,2.14,6.13,368,368,368,368,0.03,0.2,0.523,0.103,TIE,80090234
minor,Zirmunai to Naujamiestis,Vingis park concert congestions + road closure,True,5.68,14.74,1053,716,871,1091,0.027,0.071,0.497,0.351,TRAFFIC,80085134
minor,Antakalnis to centre,Vingis park concert congestions + road closure,True,3.93,10.76,673,618,618,668,0.026,0.07,0.653,0.274,TIE,80094534
minor,Seskine to Old Town,Vingis park concert congestions + road closure,True,6.05,12.5,759,741,731,779,0.026,0.075,0.588,0.292,GNN,80105034
minor,Karoliniskes to Uzupis,Vingis park concert congestions + road closure,True,7.56,17.98,1114,1043,1068,1161,0.028,0.074,0.53,0.333,TRAFFIC,80091834
minor,Justiniskes to centre,Vingis park concert congestions + road closure,True,6.61,13.94,785,888,802,808,0.026,0.072,0.531,0.305,GNN,80107134
minor,Fabijoniskes to river,Vingis park concert congestions + road closure,True,6.13,11.15,669,669,669,911,0.027,0.069,0.492,0.166,TIE,80123234
minor,West to East,Vingis park concert congestions + road closure,True,13.05,24.85,1523,1459,1400,1707,0.052,0.078,0.443,0.317,GNN,80151234
minor,North to South,Vingis park concert congestions + road closure,True,11.58,17.51,1221,880,880,1107,0.037,0.086,0.523,0.303,TIE,80126234
minor,Pilaite to Pasilaiciai,Vingis park concert congestions + road closure,True,9.88,16.19,929,1014,929,1108,0.028,0.073,0.425,0.309,GNN,80091234
minor,Lazdynai to Antakalnis,Vingis park concert congestions + road closure,True,10.11,19.52,1404,938,938,1220,0.035,0.072,0.474,0.226,TIE,80106434
minor,Pilaite to Fabijoniskes,Vingis park concert congestions + road closure,True,10.76,17.45,1030,1064,1052,1209,0.028,0.072,0.518,0.302,GNN,80096234
minor,Lazdynai to Jeruzale,Vingis park concert congestions + road closure,True,9.79,17.51,1078,1023,862,1035,0.027,0.074,0.468,0.291,GNN,80036234
minor,South to Northeast,Vingis park concert congestions + road closure,True,11.13,23.23,1716,1072,1072,1287,0.028,0.08,0.43,0.292,TIE,80064234
minor,Ring road W to E,Vingis park concert congestions + road closure,True,16.35,25.16,1920,1099,1105,1876,0.037,0.078,0.449,0.318,TRAFFIC,80156234
minor,Grigiskes to Verkiai,Vingis park concert congestions + road closure,True,24.31,30.49,1923,1736,1736,1855,0.034,0.081,0.45,0.304,TIE,80068634
minor,Salininkai to Seskine,Vingis park concert congestions + road closure,True,9.3,15.07,1079,730,730,741,0.028,0.071,0.574,0.278,TIE,80011234
90,Old Town loop,Normal traffic,False,1.53,5.51,333,328,328,328,0.036,0.177,0.513,0.132,TIE,79986119
90,Gediminas Ave,Normal traffic,False,1.08,3.92,237,234,249,234,0.029,0.077,0.485,0.084,TRAFFIC,79974119
90,Station to centre,Normal traffic,False,1.69,7.28,453,421,457,421,0.025,0.099,0.538,0.124,TRAFFIC,79969319
90,Uzupis internal,Normal traffic,False,2.14,6.13,368,368,368,368,0.025,0.08,0.535,0.084,TIE,79997319
90,Zirmunai to Naujamiestis,Normal traffic,False,5.68,14.74,1053,716,911,1091,0.034,0.086,0.502,0.207,TRAFFIC,79992219
90,Antakalnis to centre,Normal traffic,False,3.93,10.57,673,596,598,756,0.025,0.083,0.465,0.217,TRAFFIC,80001619
90,Seskine to Old Town,Normal traffic,False,6.05,12.35,759,723,731,779,0.03,0.229,0.48,0.361,TRAFFIC,80012119
90,Karoliniskes to Uzupis,Normal traffic,False,7.56,17.39,1114,973,1068,1161,0.028,0.087,0.468,0.323,TRAFFIC,79998919
90,Justiniskes to centre,Normal traffic,False,6.61,12.75,785,745,737,808,0.028,0.187,0.473,0.44,GNN,80014219
90,Fabijoniskes to river,Normal traffic,False,6.13,11.5,669,711,719,911,0.04,0.077,0.453,0.321,TRAFFIC,80030319
90,West to East,Normal traffic,False,13.05,23.8,1523,1333,1575,1707,0.032,0.182,0.492,0.332,TRAFFIC,80058319
90,North to South,Normal traffic,False,11.58,17.51,1221,880,880,1107,0.041,0.081,0.577,0.216,TIE,80033319
90,Pilaite to Pasilaiciai,Normal traffic,False,9.88,15.55,929,937,929,1108,0.028,0.082,0.508,0.305,GNN,79998319
90,Lazdynai to Antakalnis,Normal traffic,False,10.11,19.42,1404,926,927,1220,0.028,0.082,0.555,0.33,TIE,80013519
90,Pilaite to Fabijoniskes,Normal traffic,False,10.76,17.17,1030,1030,1085,1209,0.029,0.088,0.538,0.345,TRAFFIC,80003319
90,Lazdynai to Jeruzale,Normal traffic,False,9.79,15.97,1078,838,838,1035,0.028,0.089,0.559,0.286,TIE,79943319
